post_id,post_text,time,likes,comments,shares,reaction_count,like,love,wow,angry,haha,care,sad
738496031649666,"Celebrate #WB100 with sunset movies under the stars at Southside Sentosa! ✨ Relive the magic with Harry Potter and the Sorcerer's Stone, Charlie and the Chocolate Factory and more — Mark your calendars and grab some popcorn! 🍿

📆 November 10-26. This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information",2023-11-06 11:35:32,37,0,0,45,37,6.0,1.0,1.0,0.0,0.0,0.0
738486251650644,"Unlock your Barbie and Chelsea alter ego! Try this quiz to reveal which doll represents you best, and drop your results in the comments! 🌟 #Barbie #YouCanBeAnything",2023-11-06 11:00:02,14,2,1,16,14,1.0,0.0,0.0,1.0,0.0,0.0
736838365148766,"Looks like Tom won't be fishing in the Singapore Botanic Gardens again anytime soon... 🦈

📺 Tom and Jerry: Weekends on Cartoon Network | Stream on HBO Asia

▶ Watch it now on @CartoonNetworkAsia YouTube: http://bit.ly/tomandjerrysingapore

#TomandJerrySingapore",2023-11-05 19:00:17,7,4,19,10,7,0.0,0.0,0.0,3.0,0.0,0.0
737572781741991,"The chase is on in the Singapore Botanic Gardens, but something smells a little fishy 🐟 Remember, fish are friends, NOT food! 😜

📺 Tom and Jerry: Weekends on Cartoon Network | Stream on HBO Asia

▶ Watch it now on Cartoon Network Asia YouTube: http://bit.ly/tomandjerrysingapore

#TomandJerrySingapore",2023-11-04 19:04:14,453,14,68,789,453,170.0,2.0,4.0,140.0,18.0,2.0
736877231811546,"Ready to rock some outdoor superhero moves? ⚡️ Let's team up and show nature some love! 💚🌿

Find Out More: www.safestepskids.com

#SafeStepsKids #PrudenceFoundation International Federation of Red Cross and Red Crescent Societies",2023-11-03 10:41:23,83,0,6,122,83,32.0,2.0,1.0,1.0,3.0,0.0
736841875148415,"Only 1 WEEK until a century of Warner Brothers magic unfolds on the sunny shores of Sentosa Singapore! See you there! 👋

📆 November 10-26. This is a free event.

➡️ Visit www.sentosa.com.sg/wb100 for more information

#WB100inSingapore #VisitSingapore #Sentosa",2023-11-03 09:00:51,33,0,1,47,33,12.0,0.0,0.0,0.0,2.0,0.0
735935261905743,"Make it a November to remember with Cartoon Network! 🎆

Catch the all-new Tom and Jerry set in Singapore, celebrate the Powerpuff Girls, and don't miss the Greatest Of All Toons! 😎",2023-11-01 19:30:02,145,8,25,228,145,76.0,2.0,0.0,0.0,4.0,1.0
735128465319756,"Safe to say, we are definitely spooked! Don't mess with Mordecai, Rigby and friends as they go face to face with the scariest adventures! 👻

📺 Catch Halloween episodes of the Regular Show on 31 October 2023 at 10PM (SG/MY) | 9PM (TH/ID) and on 28-29 Oct at 9:15PM (PH)

💻 Stream Regular Show on HBO Go! in Asia",2023-10-31 11:45:55,2614,31,218,5617,2614,554.0,20.0,4.0,2395.0,25.0,5.0
734200272079242,"Do you have speed and wits like Jerry's? Try to catch Tom at the perfect moment as he skates up the slide! 🛹

Did you know: Only four of these iconic Dragon playgrounds still exist in Singapore today!

📺 Tom and Jerry: Weekends on Cartoon Network | Stream on HBO Asia

▶ Watch it now on @CartoonNetworkAsia YouTube: http://bit.ly/tomandjerrysingapore

#TomandJerrySingapore",2023-10-29 19:00:31,24,40,9,24,24,0.0,0.0,0.0,0.0,0.0,0.0
728680649297871,"Someone's got to tell Tom that what goes around ALWAYS comes back around! 🐱🐶

📺 Tom and Jerry: Weekends on Cartoon Network | Stream on HBO Asia

▶ Watch it now on @CartoonNetworkAsia YouTube: http://bit.ly/tomandjerrysingapore

#TomandJerrySingapore",2023-10-28 19:00:49,867,61,112,1399,867,194.0,6.0,14.0,274.0,35.0,9.0
732905262208743,"ONE HUNDRED years of amazing storytelling and animation with Warner Brothers! ✨

2 weeks more to celebrations on the beaches of Sentosa Singapore from 10-26 Nov with your favorite WB characters!

➡️Visit www.sentosa.com.sg/wb100 for more information.

#WB100inSingapore #VisitSingapore #Sentosa",2023-10-27 11:33:48,35,1,5,41,35,6.0,0.0,0.0,0.0,0.0,0.0
732863468879589,"To make your future dreams come true, it's best to start saving today! Money can make money, just so you know 💰

Save for success with Prudence and the Cha-Ching band: ➡️ https://bit.ly/3Lw0ATR

#ChaChing #PrudenceFoundation",2023-10-27 09:45:47,57,1,4,81,57,20.0,0.0,1.0,1.0,2.0,0.0
731697605662842,"Krampus' idea of hospitality includes a heap of unnecessarily ominous and creepy statements.. 👹

📺 Spook out with Teen Titans Go! on 28 October, Saturday at 8:15PM (PH)
| 9:30PM (SG/MY) | 8:30PM (TH/ID)",2023-10-25 10:46:01,209,6,14,400,209,80.0,3.0,1.0,99.0,6.0,2.0
